"RECCO","HNO_FR","REFER1","HA22_G","POWER","POOR_LOCAL","HR_DEL","X_HR","Z_MAD","P80","GATE_REASON","N_G_IN_ROUND","N_ROUND"
"2793","1",16,"1",-2.2,0,0,1.4,-0.95797238302473,9.75,"",5,29
"3247","7",8,"1",1.9,0,0,7.55,0.168622689869149,10.55,"",5,29
"936","3",15,"1",6.6,1,1,11.75,1.8687725629535,11,"P80",5,29
"2725","1",16,"1",-9.9,0,0,1.4,-0.95797238302473,9.75,"",5,29
"5168","8",2,"1",3.6,0,0,4.9,0.331113645561238,4.94,"",5,29
"3120","1",13,"1",-1.3,0,0,2.1,-0.821119185449768,9.75,"",5,29
"6518","8",2,"1",3.3,0,0,4.9,0.331113645561238,4.94,"",5,29
"1597","1",16,"1",7.3,0,0,1.4,-0.95797238302473,9.75,"",5,29
"5920","5",11,"1",2.1,1,1,9.4,1.04761330727216,8.18,"P80",5,29
"3187","3",21,"1",1.8,0,0,1.55,-0.655926793619441,11,"",5,29
"667","3",21,"1",-8,0,0,1.55,-0.655926793619441,11,"",5,29
"4371","5",11,"1",0.1,1,1,9.4,1.04761330727216,8.18,"P80",5,29
"1981","3",21,"1",-4.3,0,0,1.55,-0.655926793619441,11,"",5,29
"3950","6",4,"1",11.2,1,1,16,2.42816673411574,11.3,"P80",5,29
"2948","3",19,"1",7.5,0,0,1.6,-0.643550816381338,11,"",5,29
"2768","3",21,"1",-4.5,0,0,1.55,-0.655926793619441,11,"",5,29
"1979","3",21,"1",-4.6,0,0,1.55,-0.655926793619441,11,"",5,29
"2449","3",21,"1",-3,0,0,1.55,-0.655926793619441,11,"",5,29
"938","7",17,"1",-0.8,0,0,1.65,-1.36195249509697,10.55,"",5,29
"289","7",17,"1",-4.9,0,0,1.65,-1.36195249509697,10.55,"",5,29
"350","3",21,"1",-1.5,0,0,1.55,-0.655926793619441,11,"",5,29
"4329","8",2,"1",-2.7,0,0,4.9,0.331113645561238,4.94,"",5,29
"4650","8",2,"1",4.5,0,0,4.9,0.331113645561238,4.94,"",5,29
"174","7",17,"1",-5.6,0,0,1.65,-1.36195249509697,10.55,"",5,29
"1568","1",16,"1",1.1,0,0,1.4,-0.95797238302473,9.75,"",5,29
"3957","8",3,"1",1.8,1,1,8.2,1.14050255693315,4.94,"P80",5,29
"1792","5",16,"1",-8.4,0,0,-3,-2.5114017640086,8.18,"",5,29
"6074","8",3,"1",6.2,1,1,8.2,1.14050255693315,4.94,"P80",5,29
"2255","7",17,"1",1.6,0,0,1.65,-1.36195249509697,10.55,"",5,29
"6057","5",12,"1",10.8,1,1,10.7,1.42073585506772,8.18,"P80",5,29
"4130","1",16,"1",1.3,0,0,1.4,-0.95797238302473,9.75,"",5,29
"1127","7",17,"1",-4.3,0,0,1.65,-1.36195249509697,10.55,"",5,29
"3800","1",16,"1",4.2,0,0,1.4,-0.95797238302473,9.75,"",5,29
"2217","3",20,"1",3.7,0,0,2.55,-0.408407248857388,11,"",5,29
"1730","3",21,"1",8,0,0,1.55,-0.655926793619441,11,"",5,29
"3681","3",21,"1",1.7,0,0,1.55,-0.655926793619441,11,"",5,29
"173","7",17,"1",-6.6,0,0,1.65,-1.36195249509697,10.55,"",5,29
"821","3",21,"1",3.3,0,0,1.55,-0.655926793619441,11,"",5,29
"1718","7",22,"1",1.3,0,0,3.5,-0.882026377777086,10.55,"",5,29
"351","3",21,"1",9.3,0,0,1.55,-0.655926793619441,11,"",5,29
"4303","8",3,"1",1.6,1,1,8.2,1.14050255693315,4.94,"P80",5,29
"1204","5",16,"1",-6.6,0,0,-3,-2.5114017640086,8.18,"",5,29
"397","1",17,"1",-2.4,0,0,3.3,-0.586513703892692,9.75,"",5,29
"1323","7",19,"1",0.8,0,0,5.95,-0.246448546731833,10.55,"",5,29
"2427","3",21,"1",-5.2,0,0,1.55,-0.655926793619441,11,"",5,29
"935","5",16,"1",-6.9,0,0,-3,-2.5114017640086,8.18,"",5,29
"1334","5",16,"1",-9.6,0,0,-3,-2.5114017640086,8.18,"",5,29
"6559","3",19,"1",4.3,0,0,1.6,-0.643550816381338,11,"",5,29
"4976","5",6,"1",1.5,0,0,5.8,0.0143508672229062,8.18,"",5,29
"715","5",20,"1",1.4,0,0,3.45,-0.660139892253689,8.18,"",5,29
"3486","5",16,"1",-3.4,0,0,-3,-2.5114017640086,8.18,"",5,29
"3538","8",3,"1",4.6,1,1,8.2,1.14050255693315,4.94,"P80",5,29
"4841","8",8,"1",-4.2,0,0,-3.85,-1.81499331640975,4.94,"",5,29
"5228","8",8,"1",-8.3,0,0,-3.85,-1.81499331640975,4.94,"",5,29
"1859","6",13,"1",-4.8,0,0,3.3,-0.835083797447213,11.3,"",5,29
"1320","7",19,"1",2.2,0,0,5.95,-0.246448546731833,10.55,"",5,29
"672","7",19,"1",2,0,0,5.95,-0.246448546731833,10.55,"",5,29
"6549","3",21,"1",-0.7,0,0,1.55,-0.655926793619441,11,"",5,29
"4302","1",2,"1",1.6,1,1,11.4,0.997073296617576,9.75,"P80",5,29
"3419","3",21,"1",-0.5,0,0,1.55,-0.655926793619441,11,"",5,29
"5653","8",8,"1",-8.3,0,0,-3.85,-1.81499331640975,4.94,"",5,29
"1205","1",17,"1",8.5,0,0,3.3,-0.586513703892692,9.75,"",5,29
"6575","6",13,"1",-2.1,0,0,3.3,-0.835083797447213,11.3,"",5,29
"929","3",25,"1",9,1,1,11.7,1.8563965857154,11,"P80",5,29
"1526","7",19,"1",4.7,0,0,5.95,-0.246448546731833,10.55,"",5,29
"5811","8",8,"1",-7,0,0,-3.85,-1.81499331640975,4.94,"",5,29
"2254","5",16,"1",-6.3,0,0,-3,-2.5114017640086,8.18,"",5,29
"6139","8",8,"1",-5.3,0,0,-3.85,-1.81499331640975,4.94,"",5,29
"2893","3",21,"1",4.8,0,0,1.55,-0.655926793619441,11,"",5,29
"1720","7",19,"1",11.6,0,0,5.95,-0.246448546731833,10.55,"",5,29
"3617","7",7,"1",-7.1,0,0,8.95,0.531810021895008,10.55,"",5,29
"5713","8",8,"1",-1,0,0,-3.85,-1.81499331640975,4.94,"",5,29
"4809","8",1,"1",-15.1,0,0,-6.5,-2.4649571391781,4.94,"",5,29
"6516","8",1,"1",-13.6,0,0,-6.5,-2.4649571391781,4.94,"",5,29
"3640","1",8,"1",-7.3,0,0,1.2,-0.997073296617575,9.75,"",5,29
"6209","8",1,"1",-6.8,0,0,-6.5,-2.4649571391781,4.94,"",5,29
"5319","8",1,"1",-15.4,0,0,-6.5,-2.4649571391781,4.94,"",5,29
"6606","7",7,"1",6.4,0,0,8.95,0.531810021895008,10.55,"",5,29
"2126","5",26,"1",-5.9,0,0,2.55,-0.918455502266002,8.18,"",5,29
