recco,hno_fr,refer1,ha22_g,power,poor_local,hr_del,x_hr,z_mad,p80,gate_reaso,n_g_in_rou,n_round
"5288","1",1.00000000000000,"2",0.00000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"4608","2",5.00000000000000,"2",-4.10000000000000,0.000000000000000,0.000000000000000,2.70000000000000,-0.043236587145936,3.88000000000000,"",5.000000000000000,29.00000000000000
"967","3",22.00000000000000,"2",-3.40000000000000,0.000000000000000,0.000000000000000,2.75000000000000,-0.358903339904977,11.00000000000000,"",5.000000000000000,29.00000000000000
"6107","6",1.00000000000000,"2",-1.90000000000000,0.000000000000000,0.000000000000000,2.50000000000000,-1.040642886049604,11.30000000000000,"",5.000000000000000,29.00000000000000
"3455","3",22.00000000000000,"2",0.00000000000000,0.000000000000000,0.000000000000000,2.75000000000000,-0.358903339904977,11.00000000000000,"",5.000000000000000,29.00000000000000
"1189","5",19.00000000000000,"2",0.20000000000000,0.000000000000000,0.000000000000000,5.75000000000000,0.000000000000000,8.18000000000000,"",5.000000000000000,29.00000000000000
"6108","1",1.00000000000000,"2",-1.40000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"5102","8",7.00000000000000,"2",-0.50000000000000,0.000000000000000,0.000000000000000,3.55000000000000,0.000000000000000,4.94000000000000,"",5.000000000000000,29.00000000000000
"1251","2",5.00000000000000,"2",-4.40000000000000,0.000000000000000,0.000000000000000,2.70000000000000,-0.043236587145936,3.88000000000000,"",5.000000000000000,29.00000000000000
"2605","5",14.00000000000000,"2",9.50000000000000,1.000000000000000,1.000000000000000,10.45000000000000,1.348981518953190,8.18000000000000,"P80",5.000000000000000,29.00000000000000
"5194","6",1.00000000000000,"2",-0.70000000000000,0.000000000000000,0.000000000000000,2.50000000000000,-1.040642886049604,11.30000000000000,"",5.000000000000000,29.00000000000000
"5201","3",7.00000000000000,"2",6.90000000000000,0.000000000000000,0.000000000000000,0.10000000000000,-1.014830133524419,11.00000000000000,"",5.000000000000000,29.00000000000000
"1743","2",6.00000000000000,"2",6.70000000000000,0.000000000000000,0.000000000000000,-0.30000000000000,-1.080914678648390,3.88000000000000,"",5.000000000000000,29.00000000000000
"6117","1",1.00000000000000,"2",5.00000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"1774","7",16.00000000000000,"2",12.90000000000000,0.000000000000000,0.000000000000000,9.50000000000000,0.674490759476595,10.55000000000000,"",5.000000000000000,29.00000000000000
"5783","1",1.00000000000000,"2",-0.10000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"5446","4",4.00000000000000,"2",17.30000000000000,1.000000000000000,1.000000000000000,17.00000000000000,1.584268993189212,11.35000000000000,"P80",5.000000000000000,29.00000000000000
"2353","2",6.00000000000000,"2",3.50000000000000,0.000000000000000,0.000000000000000,-0.30000000000000,-1.080914678648390,3.88000000000000,"",5.000000000000000,29.00000000000000
"4010","1",10.00000000000000,"2",3.70000000000000,0.000000000000000,0.000000000000000,6.40000000000000,0.019550456796423,9.75000000000000,"",5.000000000000000,29.00000000000000
"5176","1",1.00000000000000,"2",9.90000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"6649","1",1.00000000000000,"2",3.00000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"3001","5",19.00000000000000,"2",2.40000000000000,0.000000000000000,0.000000000000000,5.75000000000000,0.000000000000000,8.18000000000000,"",5.000000000000000,29.00000000000000
"1920","2",6.00000000000000,"2",3.50000000000000,0.000000000000000,0.000000000000000,-0.30000000000000,-1.080914678648390,3.88000000000000,"",5.000000000000000,29.00000000000000
"6494","3",2.00000000000000,"2",9.00000000000000,0.000000000000000,0.000000000000000,9.95000000000000,1.423237382381807,11.00000000000000,"",5.000000000000000,29.00000000000000
"5700","1",1.00000000000000,"2",2.40000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"4008","2",6.00000000000000,"2",2.30000000000000,0.000000000000000,0.000000000000000,-0.30000000000000,-1.080914678648390,3.88000000000000,"",5.000000000000000,29.00000000000000
"1443","5",19.00000000000000,"2",2.80000000000000,0.000000000000000,0.000000000000000,5.75000000000000,0.000000000000000,8.18000000000000,"",5.000000000000000,29.00000000000000
"3309","8",7.00000000000000,"2",-2.10000000000000,0.000000000000000,0.000000000000000,3.55000000000000,0.000000000000000,4.94000000000000,"",5.000000000000000,29.00000000000000
"6125","1",1.00000000000000,"2",3.40000000000000,0.000000000000000,0.000000000000000,5.00000000000000,-0.254155938353500,9.75000000000000,"",5.000000000000000,29.00000000000000
"1172","3",14.00000000000000,"2",-2.00000000000000,0.000000000000000,0.000000000000000,1.60000000000000,-0.643550816381338,11.00000000000000,"",5.000000000000000,29.00000000000000
"4261","3",2.00000000000000,"2",4.60000000000000,0.000000000000000,0.000000000000000,9.95000000000000,1.423237382381807,11.00000000000000,"",5.000000000000000,29.00000000000000
"2740","2",6.00000000000000,"2",5.40000000000000,0.000000000000000,0.000000000000000,-0.30000000000000,-1.080914678648390,3.88000000000000,"",5.000000000000000,29.00000000000000
