refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
14,"25082306","",4,62.50,1,"은빛돌풍",9.9,"24041308","24   04   13   08",7,25.00,"퍼펙트건맨",19.4,14139,17635,"24 08 04  09","1600",6,"1","퍼펙트건맨","푸르칸",1,42.4,0.6,12.6,44.44,"6","6",3.10,2,0,"24080409","달금",12.60,3.10,"토르의망치",0,0,0,0,-3496,1586
12,"25082306","",6,50.00,1,"은빛돌풍",11.6,"24062309","24   06   23   09",5,60.00,"시선집중",10.4,16429,17636,"24 08 04  09","1600",7,"9","시선집중","이철경",1,43.3,5.4,16.2,33.33,"4","6",17.40,3,0,"24080409","달금",16.20,17.40,"토르의망치",0,0,0,0,-1207,1587
10,"25082306","",9,33.33,5,"드림릿지",8.4,"24021809","24   02   18   09",6,58.33,"콩코드퀸",6.6,12397,17641,"24 08 04  10","1600",2,"4","콩코드퀸","오수철",1,40.4,7.2,8.4,90.00,"4","6",10.20,1,0,"24080410","콩코드퀸",8.40,10.20,"스타터",0,0,0,0,-5244,1588
1,"25082306","",2,87.50,1,"은빛돌풍",2.6,"25070604","25   07   06   04",7,25.00,"어메이징스타",18.2,27677,17705,"24 08 17  02","1300",9,"7","어메이징스타","정우주",1,25.9,5.4,22.6,20.00,"4","4",7.00,1,0,"24081702","어메이징스타",22.60,5.00,"머니터치",0,0,0,0,9972,1589
8,"25082306","",2,90.00,4,"간다고",2.9,"24111702","24   11   17   02",7,40.00,"샤이닝참",19.2,20516,17715,"24 08 17  03","1200",8,"10","샤이닝참","유승완",1,17.0,1.2,9.2,36.36,"5","4",-7.10,2,99,"24081703","메타",9.20,-9.10,"메타",0,0,0,0,2801,1590
7,"25082306","",1,100.0,2,"마이티아미",0.0,"24110306","24   11   03   06",8,22.22,"정성바이스",9.0,20132,17720,"24 08 17  04","1200",2,"6","정성바이스","빅투아르",1,15.0,2.4,1.6,90.91,"4","1",-7.40,2,0,"24081704","엘리트로열",1.60,-14.4,"엘리트로열",0,0,0,0,2412,1591
7,"25082306","",1,100.0,2,"마이티아미",0.0,"24110306","24   11   03   06",5,55.56,"나올인디",4.7,20132,17725,"24 08 17  04","1200",7,"4","나올인디","박을운",1,16.1,0.6,8.7,45.45,"4","1",4.00,3,0,"24081704","엘리트로열",8.70,-3.00,"엘리트로열",0,0,0,0,2407,1592
6,"25082306","",8,36.36,4,"간다고",15.3,"25011204","25   01   12   04",5,63.64,"맥스위크",7.2,22389,17729,"24 08 17  04","1200",11,"9","맥스위크","문정균",1,17.1,1.2,13.9,9.09,"4","6",22.00,4,0,"24081704","엘리트로열",13.90,22.00,"엘리트로열",0,0,0,0,4660,1593
8,"25082306","",2,90.91,1,"은빛돌풍",2.5,"24112308","24   11   23   08",5,63.64,"블랙스펙터",12.3,20696,17744,"24 08 17  06","1400",4,"3","블랙스펙터","오수철",1,27.8,0.6,9.6,72.73,"6","6",-0.20,1,0,"24081706","블랙스펙터",9.60,-0.20,"더플레이어",0,0,0,0,2952,1594
3,"25082306","",4,70.00,11,"브리도시리스",10.1,"25051109","25   05   11   09",5,60.00,"텐배거",10.3,26118,17749,"24 08 17  06","1400",9,"9","텐배거","장추열",1,28.8,2.4,15.8,27.27,"4","6",15.60,2,0,"24081706","블랙스펙터",15.80,15.60,"더플레이어",0,0,0,0,8369,1595
1,"25082306","",10,18.18,7,"굿최강",21.7,"25061507","25   06   15   07",6,54.55,"텐배거",13.3,27099,17749,"24 08 17  06","1400",9,"9","텐배거","장추열",1,28.8,2.4,15.8,27.27,"4","6",24.20,3,0,"24081706","블랙스펙터",15.80,24.20,"더플레이어",0,0,0,0,9350,1596
4,"25082306","",6,50.00,9,"럭키하눌",14.6,"25031606","25   03   16   06",7,40.00,"텐배거",18.1,24284,17749,"24 08 17  06","1400",9,"9","텐배거","장추열",1,28.8,2.4,15.8,27.27,"4","6",12.30,4,0,"24081706","블랙스펙터",15.80,12.30,"더플레이어",0,0,0,0,6535,1597
3,"25082306","",6,54.55,1,"은빛돌풍",9.5,"25050406","25   05   04   06",9,27.27,"라온시티걸",15.7,25879,17750,"24 08 17  06","1400",10,"4","라온시티걸","임기원",1,29.2,2.4,18.2,18.18,"4","6",12.00,5,0,"24081706","블랙스펙터",18.20,12.00,"더플레이어",0,0,0,0,8129,1598
9,"25082306","",6,54.55,9,"럭키하눌",24.6,"24101207","24   10   12   07",9,27.27,"슈팅리버스",29.4,19354,17751,"24 08 17  06","1400",11,"11","슈팅리버스","송재철",1,29.8,3.6,21.3,9.09,"6","6",16.50,6,0,"24081706","블랙스펙터",21.30,16.50,"더플레이어",0,0,0,0,1603,1599
8,"25082306","",5,63.64,6,"창창삭스",17.5,"24101207","24   10   12   07",9,27.27,"슈팅리버스",29.4,19353,17751,"24 08 17  06","1400",11,"11","슈팅리버스","송재철",1,29.8,3.6,21.3,9.09,"6","6",9.40,7,0,"24081706","블랙스펙터",21.30,9.40,"더플레이어",0,0,0,0,1602,1600
7,"25082306","",4,72.73,1,"은빛돌풍",7.9,"24122906","24   12   29   06",7,45.45,"슈팅리버스",11.0,21940,17751,"24 08 17  06","1400",11,"11","슈팅리버스","송재철",1,29.8,3.6,21.3,9.09,"5","6",18.20,8,0,"24081706","블랙스펙터",21.30,18.20,"더플레이어",0,0,0,0,4189,1601
3,"25082306","",4,62.50,8,"소울비트",6.4,"24031703","24   03   17   03",6,37.50,"용비불패",9.4,13288,17754,"24 08 17  07","1300",3,"7","용비불패","유승완",1,22.1,6.6,8.8,81.82,"5","5",5.80,5,99,"24081707","티시패밀리",8.80,5.80,"티시패밀리",0,0,0,0,-4466,1602
9,"25082306","",5,50.00,5,"드림릿지",10.8,"24031703","24   03   17   03",6,37.50,"용비불패",9.4,13289,17754,"24 08 17  07","1300",3,"7","용비불패","유승완",1,22.1,6.6,8.8,81.82,"5","5",10.20,6,99,"24081707","티시패밀리",8.80,10.20,"티시패밀리",0,0,0,0,-4465,1603
7,"25082306","",1,100.0,5,"드림릿지",0.0,"24051109","24   05   11   09",5,55.56,"용비불패",8.2,15035,17754,"24 08 17  07","1300",3,"7","용비불패","유승완",1,22.1,6.6,8.8,81.82,"2","5",0.60,7,99,"24081707","티시패밀리",8.80,0.60,"티시패밀리",0,0,0,0,-2719,1604
5,"25082306","",4,72.73,5,"드림릿지",7.1,"24071308","24   07   13   08",6,54.55,"스포르차",10.9,16886,17755,"24 08 17  07","1300",4,"1","스포르차","이동하",1,22.2,0.6,10.2,72.73,"1","5",6.40,8,99,"24081707","티시패밀리",10.20,6.40,"티시패밀리",0,0,0,0,-869,1605
5,"25082306","",8,36.36,11,"브리도시리스",15.8,"25021607","25   02   16   07",7,45.45,"스포르차",14.0,23378,17755,"24 08 17  07","1300",4,"1","스포르차","이동하",1,22.2,0.6,10.2,72.73,"2","5",12.00,9,99,"24081707","티시패밀리",10.20,12.00,"티시패밀리",0,0,0,0,5623,1606
3,"25082306","",4,62.50,8,"소울비트",6.4,"24031703","24   03   17   03",5,50.00,"드림릿지",10.8,13288,17756,"24 08 17  07","1300",5,"10","드림릿지","임다빈",1,22.7,3.0,12.7,63.64,"5","5",8.30,10,99,"24081707","티시패밀리",12.70,8.30,"티시패밀리",0,0,0,0,-4468,1607
4,"25082306","",8,36.36,3,"정상해돋이",21.9,"25040606","25   04   06   06",6,54.55,"빛나는질주",18.5,24974,17777,"24 08 17  09","1800",4,"2","빛나는질주","조상범",1,58.3,2.4,9.6,72.73,"4","5",13.00,1,0,"24081709","빛나는질주",9.60,13.00,"자이언트엠",0,0,0,0,7197,1608
