refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
21,"25060705","",6,54.55,5,"아치메모리",9.9,"23102905","23   10   29   05",7,45.45,"블랙버미",11.4,8873,6498,"23 08 12  06","1200",8,"8","블랙버미","조인권",1,15.5,0.6,9.4,36.36,"6","4",7.90,2,0,"23081206","큐피드보우",9.40,5.90,"바람의향기",0,0,0,0,2375,944
15,"25060705","",4,70.00,6,"스카이함성",8.4,"23123110","23   12   31   10",8,30.00,"라온엠파이어",20.6,11019,6519,"23 08 12  08","1300",7,"4","라온엠파이어","이혁",1,22.2,1.2,15.1,40.00,"4","O",2.90,2,0,"23081208","논스톱선더",15.10,-4.10,"희망가득",0,0,0,0,4500,945
17,"25060705","",5,63.64,1,"백룡",8.1,"23112603","23   11   26   03",8,36.36,"나라올라",21.1,9771,6549,"23 08 13  01","1000",9,"3","나라올라","조재로",1,4.7,1.8,17.0,20.00,"4","3",4.00,5,0,"23081301","안양천둥",17.00,0.50,"포르투나",0,0,0,0,3222,946
22,"25060705","",7,50.00,7,"시크릿왕자",6.6,"23032602","23   03   26   02",11,16.67,"메티스선더",22.8,2552,6559,"23 08 13  02","1200",9,"1","메티스선더","이상규",1,18.4,3.6,19.6,20.00,"4","6",3.40,2,0,"23081302","매직모카신",19.60,3.40,"열정아르고",0,0,0,0,-4007,947
18,"25060705","",2,88.89,7,"시크릿왕자",2.9,"23061703","23   06   17   03",3,77.78,"샤프선샤인",7.8,4928,6564,"23 08 13  03","1300",4,"5","샤프선샤인","조인권",1,22.7,0.6,3.3,72.73,"4","4",-1.60,4,0,"23081303","승리공주",3.30,-3.60,"승리공주",0,0,0,0,-1636,948
21,"25060705","",3,81.82,3,"파워에치드",1.3,"23102104","23   10   21   04",5,63.64,"샤프선샤인",4.1,8507,6564,"23 08 13  03","1300",4,"5","샤프선샤인","조인권",1,22.7,0.6,3.3,72.73,"4","4",0.50,5,0,"23081303","승리공주",3.30,-1.50,"승리공주",0,0,0,0,1943,949
17,"25060705","",5,63.64,5,"아치메모리",11.6,"24022508","24   02   25   08",7,45.45,"샤프선샤인",11.5,12639,6564,"23 08 13  03","1300",4,"5","샤프선샤인","조인권",1,22.7,0.6,3.3,72.73,"6","4",3.40,6,0,"23081303","승리공주",3.30,1.40,"승리공주",0,0,0,0,6075,950
24,"25060705","",3,81.82,7,"시크릿왕자",9.6,"23011404","23   01   14   04",6,54.55,"퍼스트슈",12.0,306,6565,"23 08 13  03","1300",5,"6","퍼스트슈","조상범",1,22.8,0.6,4.7,63.64,"6","4",2.30,7,0,"23081303","승리공주",4.70,0.30,"승리공주",0,0,0,0,-6259,951
18,"25060705","",2,88.89,7,"시크릿왕자",2.9,"23061703","23   06   17   03",7,33.33,"클로버파티",11.0,4928,6568,"23 08 13  03","1300",8,"11","클로버파티","김태훈",1,24.4,1.2,14.3,36.36,"4","4",6.20,8,0,"23081303","승리공주",14.30,4.20,"승리공주",0,0,0,0,-1640,952
16,"25060705","",2,90.91,1,"백룡",0.4,"23122503","23   12   25   03",4,72.73,"클로버파티",3.7,10703,6568,"23 08 13  03","1300",8,"11","클로버파티","김태훈",1,24.4,1.2,14.3,36.36,"5","4",11.00,9,0,"23081303","승리공주",14.30,9.00,"승리공주",0,0,0,0,4135,953
19,"25060705","",2,90.91,7,"시크릿왕자",10.0,"23052002","23   05   20   02",5,63.64,"총알커널",13.2,4061,6570,"23 08 13  03","1300",10,"10","총알커널","김정준",1,25.2,2.4,19.1,18.18,"2","4",15.90,10,0,"23081303","승리공주",19.10,13.90,"승리공주",0,0,0,0,-2509,954
25,"25060705","",7,45.45,5,"아치메모리",10.2,"23052004","23   05   20   04",6,54.55,"사랑다모아",6.8,4088,6575,"23 08 13  04","1300",4,"1","사랑다모아","김옥성",1,22.0,3.6,7.8,66.67,"4","6",11.20,1,0,"23081304","사랑다모아",7.80,11.20,"파인캠프",0,0,0,0,-2487,955
26,"25060705","",3,80.00,5,"아치메모리",1.6,"23042304","23   04   23   04",8,30.00,"사랑다모아",9.0,3420,6575,"23 08 13  04","1300",4,"1","사랑다모아","김옥성",1,22.0,3.6,7.8,66.67,"5","6",0.40,2,0,"23081304","사랑다모아",7.80,0.40,"파인캠프",0,0,0,0,-3155,956
13,"25060705","",4,72.73,7,"시크릿왕자",7.4,"23112510","23   11   25   10",7,45.45,"블루인디",10.6,9724,6584,"23 08 13  05","1400",4,"5","블루인디","김덕현",1,28.5,3.0,7.2,70.00,"5","6",4.00,2,0,"23081305","베스트전사",7.20,4.00,"베스트전사",0,0,0,0,3140,957
18,"25060705","",4,72.73,3,"파워에치드",1.9,"23123007","23   12   30   07",8,36.36,"갤럭시삭스",8.6,10875,6588,"23 08 13  05","1400",8,"3","갤럭시삭스","이혁",1,29.7,0.6,14.9,30.00,"6","6",8.20,5,0,"23081305","베스트전사",14.90,8.20,"베스트전사",0,0,0,0,4287,958
29,"25060705","",3,83.33,5,"아치메모리",1.7,"23012803","23   01   28   03",7,50.00,"클럽디",12.9,534,6607,"23 08 13  07","1700",6,"4","클럽디","김정준",1,53.0,1.8,18.2,44.44,"6","5",7.00,1,0,"23081307","클럽디",18.20,7.00,"콩코드스퍼트",0,0,0,0,-6073,959
14,"25060705","",9,33.33,6,"스카이함성",11.8,"24020310","24   02   03   10",7,50.00,"봄날의기억",11.1,12024,6623,"23 08 13  09","1600",5,"10","봄날의기억","하정훈",1,43.9,4.2,7.5,50.00,"5","5",8.20,1,0,"23081309","봄날의기억",7.50,8.20,"김천영웅",0,0,0,0,5401,960
12,"25060705","",9,27.27,7,"시크릿왕자",16.7,"24021810","24   02   18   10",6,54.55,"금아시크",6.9,12409,6625,"23 08 13  09","1600",7,"9","금아시크","정정희",1,45.2,3.6,17.3,25.00,"3","5",27.10,2,0,"23081309","봄날의기억",17.30,27.10,"김천영웅",0,0,0,0,5784,961
14,"25060705","",3,83.33,1,"백룡",10.8,"24022404","24   02   24   04",4,75.00,"흥행불패",11.4,12463,6642,"23 08 19  01","1000",4,"3","흥행불패","최범현",1,3.3,4.2,4.8,72.73,"5","4",4.20,1,0,"23081901","흥행불패",4.80,2.20,"글라디우스",0,0,0,0,5821,962
20,"25060705","",3,81.82,3,"파워에치드",10.0,"23111904","23   11   19   04",5,63.64,"천마불패",15.7,9536,6647,"23 08 19  01","1000",9,"6","천마불패","임다빈",1,4.8,0.6,14.8,27.27,"4","4",9.10,2,0,"23081901","흥행불패",14.80,7.10,"글라디우스",0,0,0,0,2889,963
19,"25060705","",8,30.00,1,"백룡",11.4,"23090901","23   09   09   01",7,40.00,"천마불패",10.7,7277,6647,"23 08 19  01","1000",9,"6","천마불패","임다빈",1,4.8,0.6,14.8,27.27,"5","4",15.50,3,0,"23081901","흥행불패",14.80,13.50,"글라디우스",0,0,0,0,630,964
12,"25060705","",9,27.27,7,"시크릿왕자",16.7,"24021810","24   02   18   10",5,63.64,"태평히어로",3.1,12409,6652,"23 08 19  02","1200",3,"2","태평히어로","이동하",1,17.0,7.8,9.4,80.00,"3","4",23.00,3,0,"23081902","골든드래곤",9.40,21.00,"행복한승자",0,0,0,0,5757,965
18,"25060705","",4,72.73,3,"파워에치드",1.9,"23123007","23   12   30   07",5,63.64,"메이드스타",2.6,10875,6660,"23 08 19  03","1300",1,"2","메이드스타","안토니오",1,22.9,0.0,0.0,100.0,"6","4",-0.70,2,0,"23081903","메이드스타",0.00,-2.70,"메이드스타",0,0,0,0,4215,966
22,"25060705","",4,72.73,3,"파워에치드",6.9,"23092404","23   09   24   04",8,36.36,"메니참",15.3,7860,6664,"23 08 19  03","1300",5,"7","메니참","푸르칸",1,24.2,0.6,7.0,60.00,"4","4",-1.40,4,0,"23081903","메이드스타",7.00,-3.40,"메이드스타",0,0,0,0,1196,967
14,"25060705","",3,83.33,1,"백룡",10.8,"24022404","24   02   24   04",11,16.67,"슛업스파크",20.2,12463,6668,"23 08 19  03","1300",9,"6","슛업스파크","이현종",1,26.5,5.4,21.6,20.00,"4","4",12.20,5,0,"23081903","메이드스타",21.60,10.20,"메이드스타",0,0,0,0,5795,968
19,"25060705","",7,45.45,3,"파워에치드",6.3,"23121608","23   12   16   08",6,54.55,"선더프린스",6.6,10381,6672,"23 08 19  04","1700",3,"9","선더프린스","빅투아르",1,53.4,3.6,5.6,81.82,"4","4",5.30,5,0,"23081904","매디슨마운틴",5.60,3.30,"매디슨마운틴",0,0,0,0,3709,969
14,"25060705","",1,100.0,7,"시크릿왕자",0.0,"23102806","23   10   28   06",3,81.82,"그린필스타",14.3,8759,6675,"23 08 19  04","1700",6,"2","그린필스타","조상범",1,53.9,1.8,12.1,54.55,"5","4",-2.20,12,0,"23081904","매디슨마운틴",12.10,-4.20,"매디슨마운틴",0,0,0,0,2084,970
19,"25060705","",7,45.45,3,"파워에치드",6.3,"23121608","23   12   16   08",10,18.18,"고스트참",20.4,10381,6676,"23 08 19  04","1700",7,"8","고스트참","김옥성",1,54.6,4.2,14.1,45.45,"4","4",0.00,13,0,"23081904","매디슨마운틴",14.10,-2.00,"매디슨마운틴",0,0,0,0,3705,971
16,"25060705","",8,30.00,7,"시크릿왕자",11.9,"23080511","23   08   05   11",9,20.00,"스타프린세스",20.3,6234,6680,"23 08 19  04","1700",11,"4","스타프린세스","푸르칸",1,57.2,10.2,31.9,9.09,"1","6",23.50,15,0,"23081904","매디슨마운틴",31.90,23.50,"매디슨마운틴",0,0,0,0,-446,972
27,"25060705","",2,91.67,5,"아치메모리",6.3,"23032605","23   03   26   05",4,75.00,"런던퀸",10.4,2582,6685,"23 08 19  05","1200",5,"7","런던퀸","김효정",1,16.3,3.0,3.6,63.64,"6","6",-0.50,3,0,"23081905","돌배",3.60,-0.50,"돌배",0,0,0,0,-4103,973
