refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco,ho_befo_hi,horank_hi,ho_due_hi,ma_due_hi,jo_due_hi,enho_hi,jo_befo_hi,jorank_hi,jo_tren_hi,manager_hi,ma_befo_hi,marank_hi,owner_hi,ow_befo_hi,owrank_hi,fanpro_hi,jockey_hi,ho_befo_fr,horank_fr,ho_due_fr,ma_due_fr,jo_due_fr,enho_fr,jockey_fr,jo_befo_fr,jorank_fr,jo_tren_fr,manager_fr,ma_befo_fr,marank_fr,owner_fr,ow_befo_fr,owrank_fr,fanpro_fr,jo_gap_rk,ma_gap_rk,ow_gap_rk,jo_gap_rt,ma_gap_rt,ow_gap_rt,ho_gap_rk,ho_gap_rt,ho_gap_du,jo_gap_du,ma_gap_du
4,25100306,,6,54.55,9,동키플레이,9.5,25030204,25   03   02   04,5,63.64,선더여걸,8.5,23813,29305,25 09 06  03,1400,4,4,선더여걸,김태희,1,28.5,3,8.5,72.73,5,5,9.5,3,0,25090603,학산프린스,8.5,9.5,프리타임,1,0,0,0,-5492,3528,33.33,5,4,2,2,7,32.95,5,4.3,최영주,18.84,7,조현영,18.9,4,45.45,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
4,25100306,,6,54.55,9,동키플레이,9.5,25030204,25   03   02   04,4,72.73,세명다이아,6,23813,28293,25 07 27  05,1300,4,6,세명다이아,김정준,1,23,3,10.5,66.67,5,5,14,4,0,25072705,말스고,10.5,14,말스고,1,0,0,0,-4480,3344,33.33,5,4,2,2,7,32.95,5,4.3,최영주,18.84,7,조현영,18.9,4,45.45,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
4,25100306,,6,54.55,9,동키플레이,9.5,25030204,25   03   02   04,4,72.73,세명다이아,6,23813,19862,24 10 27  01,1200,2,5,세명다이아,장추열,1,15.2,5.5,5.5,90,5,4,9,2,0,24102701,세명다이아,5.5,9,베스트레이스,1,0,0,0,3951,1194,33.33,5,4,2,2,7,32.95,5,4.3,최영주,18.84,7,조현영,18.9,4,45.45,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,8,36.36,해제여걸,7,21931,19093,24 10 05  05,1200,3,10,해제여걸,박태종,1,15.3,1,1,80,5,2,-1.5,2,0,24100505,행복여전사,1,-1.5,스마트별,1,0,0,0,2838,1048,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,8,36.36,해제여걸,7,21931,20137,24 11 03  06,1200,6,1,해제여걸,박태종,1,16.2,2,6,44.44,5,4,3.5,2,0,24110306,나올인디,6,3.5,마이티아미,1,0,0,0,1794,1278,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,15926,24 06 09  02,1400,6,4,천지마켓,송재철,1,31.4,0.5,10,54.55,5,4,-3,2,0,24060902,트롤,10,-3,엠케이리,1,0,0,0,6005,491,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,5,63.64,아씨장군,3.5,21931,23102,25 02 09  04,1300,7,9,아씨장군,김철호,1,23.5,0,5.5,40,6,5,6.5,3,0,25020904,엑설런트마타,5.5,6.5,오스틴리더,1,0,0,0,-1171,1979,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,10,18.18,청해제일,15.5,21931,24034,25 03 09  03,1300,9,4,청해제일,정정희,1,23.6,9.5,16.5,27.27,5,4,5.5,6,0,25030903,굿파이터,16.5,5.5,긴샤리보이,1,0,0,0,-2103,2237,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,9,27.27,원더풀새치,15.5,21931,29749,25 09 20  05,1700,3,4,원더풀새치,푸르칸,1,50.7,2.5,8.5,81.82,5,5,-2.5,4,0,25092005,원더풀웰스,8.5,-2.5,원더풀웰스,1,0,0,0,-7818,3617,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,9,27.27,원더풀새치,15.5,21931,29189,25 08 31  03,1400,6,9,원더풀새치,조상범,1,28.8,0.5,10,54.55,5,5,-1,5,99,25083103,크리솔스톤,10,-1,크리솔스톤,1,0,0,0,-7258,3504,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,5,63.64,아씨장군,3.5,21931,21926,24 12 29  05,1400,1,4,왈츠의여왕,유승완,1,28.3,0,4.5,100,6,6,4.5,1,99,24122905,왈츠의여왕,4.5,4.5,왈츠의여왕,1,0,0,0,5,3723,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,8,36.36,해제여걸,7,21931,27884,25 07 13  04,1200,11,6,해제여걸,박태종,1,18.1,5,17.5,9.09,5,5,15,12,0,25071304,손을내밀어,17.5,15,삼정레이디,1,0,0,0,-5953,3248,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,10,18.18,청해제일,15.5,21931,25858,25 05 04  04,1400,7,4,청해제일,정정희,1,29.7,3,8.5,45.45,5,5,-2.5,4,0,25050404,민트플레이,8.5,-2.5,민트플레이,1,0,0,0,-3927,2708,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,24387,25 03 22  04,1400,8,8,천지마켓,오수철,1,32.4,3.5,14.5,36.36,5,3,1.5,11,0,25032204,칸누트,14.5,1.5,파사킹,1,0,0,0,-2456,2319,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,24835,25 04 05  03,1300,7,4,천지마켓,오수철,1,22.5,1,14,45.45,5,5,1,2,0,25040503,천지마켓,14,1,연희히어로,1,0,0,0,-2904,2431,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,8,36.36,해제여걸,7,21931,26879,25 06 08  03,1200,11,9,해제여걸,임다빈,1,18.7,5,17,9.09,5,5,14.5,16,0,25060803,그로우,17,14.5,그로우,1,0,0,0,-4948,2973,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,27879,25 07 13  04,1200,6,9,천지마켓,문정균,1,16.6,5,10,54.55,5,5,-3,6,0,25071304,손을내밀어,10,-3,삼정레이디,1,0,0,0,-5948,3243,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,25746,25 05 03  03,1300,9,1,천지마켓,임다빈,1,23.3,6,13.5,20,5,5,0.5,9,0,25050303,세광질주,13.5,0.5,정성바이스,1,0,0,0,-3815,2676,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
